ClassNumber,Mnemonic,Number,Section,Title
18522,COLA,1500,13,College Advising Seminars
18523,COLA,1500,14,College Advising Seminars
11827,COLA,1500,15,College Advising Seminars
11853,COLA,1500,16,College Advising Seminars
11854,COLA,1500,17,College Advising Seminars
12374,COLA,1500,18,College Advising Seminars
11855,COLA,1500,19,College Advising Seminars
12048,COLA,1500,20,College Advising Seminars
18524,COLA,1500,21,College Advising Seminars
18525,COLA,1500,22,College Advising Seminars
18526,COLA,1500,23,College Advising Seminars
13168,COLA,1500,24,College Advising Seminars
12050,COLA,1500,26,College Advising Seminars
11900,COLA,1500,27,College Advising Seminars
12100,COLA,1500,28,College Advising Seminars
11902,COLA,1500,29,College Advising Seminars
12375,COLA,1500,31,College Advising Seminars
12060,COLA,1500,32,College Advising Seminars
12377,COLA,1500,34,College Advising Seminars
20579,COLA,1500,35,College Advising Seminars
12094,COLA,1500,36,College Advising Seminars
12095,COLA,1500,37,College Advising Seminars
12096,COLA,1500,38,College Advising Seminars
12097,COLA,1500,39,College Advising Seminars
12098,COLA,1500,40,College Advising Seminars
21966,COLA,1500,41,College Advising Seminars
12099,COLA,1500,42,College Advising Seminars
12101,COLA,1500,43,College Advising Seminars
12116,COLA,1500,47,College Advising Seminars
12128,COLA,1500,50,College Advising Seminars
12132,COLA,1500,51,College Advising Seminars
12257,COLA,1500,54,College Advising Seminars
12382,COLA,1500,56,College Advising Seminars
12450,COLA,1500,60,College Advising Seminars
12469,COLA,1500,61,College Advising Seminars
12639,COLA,1500,65,College Advising Seminars
12640,COLA,1500,68,College Advising Seminars
12641,COLA,1500,69,College Advising Seminars
12642,COLA,1500,70,College Advising Seminars
12682,COLA,1500,74,College Advising Seminars
12683,COLA,1500,75,College Advising Seminars
12684,COLA,1500,76,College Advising Seminars
12814,COLA,1500,83,College Advising Seminars
12829,COLA,1500,85,College Advising Seminars
13169,COLA,1500,89,College Advising Seminars
20355,COLA,1500,90,College Advising Seminars
20356,COLA,1500,91,College Advising Seminars
20362,COLA,1500,92,College Advising Seminars
20363,COLA,1500,93,College Advising Seminars
20364,COLA,1500,94,College Advising Seminars
